Season No;Episode No;Episode Name;Character Name;Dialogue
6;1;Solaricks;Rick;Ugh, guess this is how it ends. I thought I was better than this. Dramatic voiceover while stranded in space? I-I guess when you're dying, the first thing to go is your creativity. Citadel's gone, and-and the saucer we escaped in is out of power.
6;1;Solaricks;Alternate Morty;Oh man, I'm so scared in here...
6;1;Solaricks;Rick;The extra Mortys went feral—
6;1;Solaricks;Alternate Morty;Gahhhh!
6;1;Solaricks;Rick; —eh, some problems solve themselves. Been drinking a lot—Morty, I told you to write this down! I-I don't have a helmet like that Avengers guy did!—been drinking a lot of my piss. Portal gun's still broken—
6;1;Solaricks;Morty; Guess that was all part of Evil Morty's plan.
6;1;Solaricks;Rick;Evil Morty? Can we stop flattering this guy? His plan was to monologue and fuck off! He basically threw a tantrum to announce he was quitting Twitter!
6;1;Solaricks;Morty;Nobody quits Twitter.  Hey, remember, like a second ago, when you pretended to not know who Iron Man was? Who was that for?
6;1;Solaricks;Rick;Shh, shh, shush, Morty. This is how we go. Bear it with grace.  Spinal cord, Robitussin as a base, then surprise me. 
6;1;Solaricks;Morty;Mom!
6;1;Solaricks;Rick;Beth, maybe!
6;1;Solaricks;Rick;Is she trying to say something?  We-we can't hear you! How dumb are... Beth, you're in a vacuum, sound travels on air!  Why am I yelling?
6;1;Solaricks;Space Beth; IS THIS A PRIVATE PARTY? OR CAN ANYONE JOIN?
6;1;Solaricks;Morty; Wow. Great.
6;1;Solaricks;Rick; Yeah, that's... Wow. Really worth it. That was not worth it! It's corny!  You! Corn! Dying of starvation here!
6;1;Solaricks;Space Beth;WHEN I DECIDED TO SAY IT, I DIDN'T KNOW IT WOULD BE...
6;1;Solaricks;Morty;Oh my God, stop explaining!  Stop explaining!
6;1;Solaricks;Space Beth;... SUBJECTED TO THIS SCRUTINY.
6;1;Solaricks;Rick;Are you finished?  She's not finished.
6;1;Solaricks;Space Beth;MAYBE I WON'T RESCUE YOU.
6;1;Solaricks;Rick;Oh, real mature.
6;1;Solaricks;Morty;Oh, nice.
6;1;Solaricks;Rick;Real classy.
6;1;Solaricks;Rick; It was a good line, honey.
6;1;Solaricks;Space Beth; I didn't need it to be. I don't care what you think.
6;1;Solaricks;Beth; Oh my god, she found you. Here, eat. Eat.
6;1;Solaricks;Morty;Oh hell yes!
6;1;Solaricks;Rick;Hold on, buddy. Our systems could go into shock from solid food.  Digestibot, convert to nutrient mass.
6;1;Solaricks;Rick;I'm just gonna risk it.
6;1;Solaricks;Beth;Since when do you guys get stranded?  Thank you, by the way.
6;1;Solaricks;Space Beth;Almost left them out there.
6;1;Solaricks;Rick;Portal travel's broken.  Mmm. Are these heirloom tomatoes? Digestibot, try these.
6;1;Solaricks;Digestibot;Yum. Yum.
6;1;Solaricks;Beth;So you can't hop realities anymore? Does that mean you'll finally have to wash your robe?
6;1;Solaricks;Rick;Good point. They need to reboot the Portal Index immediately.
6;1;Solaricks;Rick;Basically just a hard reset on the fluid. Hold tight, the Earth's gonna shake a bit.
6;1;Solaricks;Space Beth;Uhh...
6;1;Solaricks;Beth;Oh!
6;1;Solaricks;Rick; Oh, shit.
6;1;Solaricks;Morty; Wait, what? What's happening?
6;1;Solaricks;Rick;Instead of resetting portal travel, I may have reset portal travellers. Too late to apologise.
6;1;Solaricks;Jerry;Rick, why am I pulsing green? And don't say you don't know, because you're pulsing green.
6;1;Solaricks;Morty; Rick, are we about to die?
6;1;Solaricks;Rick; No, we're about to vanish from this reality.
6;1;Solaricks;Jerry;That's totally dying!
6;1;Solaricks;Rick;No it isn't! It's everyone from this reality returning to their reality of origin.
6;1;Solaricks;Morty;Back to our original universes!
6;1;Solaricks;Rick;I explained it fine, Morty. You're spoonfeeding spoons. Where is Summer?
6;1;Solaricks;Summer;Oh nice, you guys are back.  Whoa.
6;1;Solaricks;Rick; Summer, three of us are one-way blind-hopping. You gotta help us get back. There's a protocol for this in your chores server, filename 'booger-aids'.
6;1;Solaricks;Summer;Every file is 'booger-aids'!
6;1;Solaricks;Rick;I—I hate naming things! Just search for words like 'one-way blind-hop, reset map beacon'.
6;1;Solaricks;Jerry; Why do I have a reality of origin?
6;1;Solaricks;Rick;There's no time to explain, Jerry. Counting on you, Summer! One-way blind-hop beacon protocol.  Here we gooooo!
6;1;Solaricks;Jerry;So there was time to explain.
6;1;Solaricks;Rick;Don't waste extra precious seconds with your pettiness, Jerry!  Summer, let's run down—
6;1;Solaricks;Summer;One-way blind-hop reset beacon, 'booger-aids'.
6;1;Solaricks;Rick; Cool.  Wow.
6;1;Solaricks;Jerry; There was so much time to explain!
6;1;Solaricks;Rick;Yes, fine! Hindsight is 20-20. Who has ever taken this long to vanish?
6;1;Solaricks;Jerry;How did I end up not in my own universe?  Oh, my god. The Jerryboree.
6;1;Solaricks;Rick and Morty; Oh, the Jerryboree!
6;1;Solaricks;Rick; Deep cut.
6;1;Solaricks;Beth;Wait, but where's our real dad and our real Morty?
6;1;Solaricks;Summer; Buried in the backyard. 
6;1;Solaricks;Beth;That's what the possums are after.
6;1;Solaricks;Space Beth;Dad's got you in the family business too, huh?
6;1;Solaricks;Summer;Yeah, Morty's an easy mark, but Rick pays me in things like...
6;1;Solaricks;Summer; Wolverine claws.
6;1;Solaricks;Space Beth;Well, looks like you got this. See you guys in another—two years? 
6;1;Solaricks;Summer;Or you could stick around for this one? Looks like it involves Grandpa's grotty citadel.  We could, you know, break things, loot stuff.
6;1;Solaricks;Space Beth; I should... probably get back to... saving the galaxy.
6;1;Solaricks;Summer;Please?
6;1;Solaricks;Space Beth; Guess I could loot some stuff. Fine. Yeah. Okay. Let's make it quick.
6;1;Solaricks;Beth; Awesome, I've never been. Let's do this. Okay. Adventure family. Woo! 
6;1;Solaricks;Summer;Uhh... Okay!
6;1;Solaricks;Rick;Fuck.
6;1;Solaricks;Rick Prime; Excuse me? Bro, Ricks don't pass on this.
6;1;Solaricks;Voice;Rick, is that you?
6;1;Solaricks;Rick; Yeah, Diane.
6;1;Solaricks;Diane;You've been gone so long.  Did you find our daughter's killer?
6;1;Solaricks;Rick;Not yet, sorry. Still looking. 
6;1;Solaricks;Diane;You'll find him. You always do everything you set your mind to, except keep your family alive. But that was hardly your fault.
6;1;Solaricks;Rick; Mute.
6;1;Solaricks;Diane; If I could be muted, I wouldn't be too-too-too good at haunting you, would I, you dirty bear?
6;1;Solaricks;Rick;Yeah. I forgot I wanted to be haunted. 
6;1;Solaricks;Diane;I guess you predicted you might. That's where haunting comes in handy, huh?
6;1;Solaricks;Rick;Very good point, sugar.
6;1;Solaricks;Morty;Rick?
6;1;Solaricks;Morty;Hello? Original family? Sorry about last time. Rick, he was in space prison. We couldn't just—hello?
6;1;Solaricks;Morty;Aaaah!
6;1;Solaricks;Morty; Aw, geez.
6;1;Solaricks;Morty;Ah!
6;1;Solaricks;Morty; Oh!
6;1;Solaricks;Original Jerry;Agh! Ah, fuck! Dammit Morty, there's no doctors anymore.
6;1;Solaricks;Morty; Dad!?
6;1;Solaricks;Beth;Figures it's underwhelming, the one time I visit.
6;1;Solaricks;Summer;Yeah, sorry, usually, there's cowboy Rick and Mortys and stuff.
6;1;Solaricks;Beth;Looks like they could use a couple repairmen Ricks and Mortys, right?
6;1;Solaricks;Summer;Oh, tight! Little scavenger dudes. If they shoot at us, I'm allowed to...
6;1;Solaricks;Summer; do this.  Shit, yeah.
6;1;Solaricks;Summer;Space Mom, get in on this!
6;1;Solaricks;Summer;Cool Mom.
6;1;Solaricks;Space Beth;Let's keep it moving. I don't have all day.
6;1;Solaricks;Beth;I got it! I got it.  Sorry!  Sorry!  I got it. Sorry!
6;1;Solaricks;Beth; I was... gonna do it...
6;1;Solaricks;Summer; Ugh, terrestrials, am I right?
6;1;Solaricks;Diane;I kept up the search in your absence. You want a new list of potential locations?
6;1;Solaricks;Rick;You're always just one room away, huh? 
6;1;Solaricks;Diane;Yeah. Remember, if you thought you could see or touch me, it might give you a level of  com-com-comfort.
6;1;Solaricks;Rick;Right, can't have that. Come on, Summer. 
6;1;Solaricks;Diane;Who's Summer? Should I be jealous? I hope  Summer knows what happens to the people you love!
6;1;Solaricks;Old Man;Hey, Rick!
6;1;Solaricks;Rick;Hey, Mr Goldmanbachmajorian. S-still alive, huh? What's up?
6;1;Solaricks;Mr. GBM;I was hoping you could help me make sense of a note I found this morning? It's written by someone claiming to be me. They say my mind is 'held captive in a time loop, trapped in the day of a traumatic event by the agony of a formidable intelligence, but also that my captor forgot about aging, that my body spoils and yearns for death while my soul remains stuck in place, caught like a fly in amber.'
6;1;Solaricks;Rick; Right. I used to drink drink.  Uhh... no clue pal.
6;1;Solaricks;Mr. GBM;That's okay. I found other notes in the trash just like it. Poor weirdo. I pity them. Wish they could let go and move on.
6;1;Solaricks;Rick;Sounds healthy.
6;1;Solaricks;Mr. GBM;Sure would be!
6;1;Solaricks;Mr. GBM;Aaah, sweet death!
6;1;Solaricks;Diane;Was that symbolic? Are you letting go? I understand, baby. I forgive you!
6;1;Solaricks;Rick; You don't get to say that, you're not her! You're a thing I built to torture myself.  This whole fucking timeline is cursed. I gotta get out of here.
6;1;Solaricks;Diane;Because you want to move on.
6;1;Solaricks;Rick;Because I don't! And  I have to. I came back on accident. The guy I'm looking for, he's... he's not findable, Diane.  I live with a version of Beth now.
6;1;Solaricks;Diane;Sounds like a version of nice.
6;1;Solaricks;Rick;We have grandkids. That's who Summer is. She's going to get me out of here.  She reminds me of you.
6;1;Solaricks;Diane;Oh really? Is she dead too?
6;1;Solaricks;Rick; Bye, Diane.
6;1;Solaricks;Diane;You're not honestly going to fly into that rift without coordinates, are you? Don't give up on us, Rick. I don't make the rules. Haunters gonna haunt.
6;1;Solaricks;Diane;Baby, are you killing yourself?
6;1;Solaricks;Rick;I'm more embracing the win-win of risking my life.
6;1;Solaricks;Morty;Where's Mom and Summer?
6;1;Solaricks;Original Jerry;Oh, they're gone. Sorry, Morty.
6;1;Solaricks;Morty;Gone gone?
6;1;Solaricks;Original Jerry;We spent a long time in that ice. A gentle mutant licked us out, but Beth got sick and Summer... didn't thaw right.
6;1;Solaricks;Original Jerry;"With no one left to blame, I finally had to deal with myself. Buried my grief at Barnes & Noble. Four Agreements"", ""Eat Pray Love"", Frank Miller's ""The Dark Knight Returns"". Learned to accept things for what they are."""
6;1;Solaricks;Original Jerry;In a few of these, the whole brain is still intact. Makes you wonder if some people were still in there,  just trapped in the horror. Anyway, it's awesome protein.
6;1;Solaricks;Morty;I'm so sorry, Dad. But my real, original Dad beat the apocalypse. I-I-I guess we all underestimated you. Hey, w-what's that game we always try to play as a family, y—the one we never finished?
6;1;Solaricks;Original Jerry;Downbeat.
6;1;Solaricks;Morty;Yes! Let's play Downbeat. I-I bet I can find it! We can finish now!
6;1;Solaricks;Original Jerry;Yeah, you should totally do that.
6;1;Solaricks;Morty;Hey, yeah, cool, I-I got it! We'll play Downbeat and we'll-we'll camp here tonight and then rebuild the house.  You know, we got food, fresh water, and we've got family.
6;1;Solaricks;Morty;The fuck? 
6;1;Solaricks;Original Jerry; Morty. I wrote this note in advance in case you're wondering how I left so fast. My plan is to wait for you to turn your back, them I'm going to grab all your shit and split. Depending on how long you were out of the room, you'll probably be thinking I can't be that far away and you'll want to foll—
6;1;Solaricks;Original Jerry; Morty, wrote this fast 'cause had to set trap. Thought you'd have cooler shit. See other note. Bye.
6;1;Solaricks;Morty;Motherfu— 
6;1;Solaricks;Morty; Whoa, whoa! Slow down! Slow down!
6;1;Solaricks;Morty;Not cool! Oh!
6;1;Solaricks;Morty;What the hell, Dad?
6;1;Solaricks;Original Jerry;Don't take it personal, Morty. That's one of the Four Agreements. I don't remember the other three, but I know Commissioner Gordon was cool with Batman moving on.
6;1;Solaricks;Morty;Batman doesn't abandon people!
6;1;Solaricks;Original Jerry;You abandoned us.
6;1;Solaricks;Morty;I deserve that. But, you know, it... it improved you.
6;1;Solaricks;Original Jerry;Oh, am I cool enough for you now? Well, that was easy, it only cost me fucking everything!
6;1;Solaricks;Morty;Whoa, hey, I-I—
6;1;Solaricks;Original Jerry;You came back and talked about us like we weren't people, Morty! Then you bailed and left us to freeze!
6;1;Solaricks;Morty;I-I was apologizing for that earlier—
6;1;Solaricks;Original Jerry;Your mom and sister died, Morty!  And I moved on. From caring. And that is the best deal you will ever get. So take it.
6;1;Solaricks;Morty;Please don't go! I-if Rick comes back, we ca-we can find you a new reality. A new Mom, a new Summer, a... job!
6;1;Solaricks;Original Jerry;Oh, you don't get it, kid. Except for this conversation, my life is perfect. Rick was always right.  Everyone needs to let go.
6;1;Solaricks;Morty;Aww, you came back. I guess we really did form a bond.
6;1;Solaricks;Morty;Ow! Hey, stop it! Get away from me!  No! Help!
6;1;Solaricks;Summer;Alright, pin dropped, Grandpa!
6;1;Solaricks;Summer;Come and get us.
6;1;Solaricks;Rick;Come on, come on, come on!
6;1;Solaricks;Diane;Baby? Something to keep in mind—if you were pulled home by whatever happened, it's likely our target was, as well. It's also likely he's having as much trouble leaving as you are.
6;1;Solaricks;Rick;He's trapped.
6;1;Solaricks;Summer;Grandpa!
6;1;Solaricks;Rick;Oh, fuck yes!
6;1;Solaricks;Summer;Grandpa—Grandpa?
6;1;Solaricks;Rick;Summer! Gold star, always believed in you. N-now the hard part.
6;1;Solaricks;Summer;Hard part?
6;1;Solaricks;Rick;Way worse things than me can see that beacon, too. Hunker down and protect it while I grab Morty. Rick out! Try to survive!
6;1;Solaricks;Summer;Oh, shit.  Domestic Mom should hide, maybe?
6;1;Solaricks;Beth;"Domestic Mom?"""""
6;1;Solaricks;Summer;I mean, she's the cool space one.
6;1;Solaricks;Space Beth;Look, I'm not looking to get caught in whatever this is. You guys can both hide maybe, hash it out.
6;1;Solaricks;Beth;Oh, quit talking down. I'm you with the patience to do laundry.
6;1;Solaricks;Summer;Mom, stop being jealous of our bond!
6;1;Solaricks;Beth;She ran from our choices. I have to parent them.
6;1;Solaricks;Space Beth;It's not like I didn't care. That's what the clone was for. Aah!
6;1;Solaricks;Summer;Moms!
6;1;Solaricks;Rick;Morty!
6;1;Solaricks;Morty;Rick? I knew it! I knew you wouldn't leave me!
6;1;Solaricks;Morty;Ow! The fuck?
6;1;Solaricks;Rick;Morty, did you see another Rick here? Nondescript haircut, sci-fi jacket?  Eh, of course you didn't see him, you'd be dead. Or you'd be a bomb. Do you feel bomby? Nah, you woulda blown up by now.
6;1;Solaricks;Morty;Wasn't the Rick here dead? Th-th-that's why you pick places, right?
6;1;Solaricks;Rick;Uh, well, your Rick, uh, yeah, not dead, more like, not around. When I met you, I was sorta hoping he might turn up one day— You son of a bitch! I got you!
6;1;Solaricks;Morty;W-w-where are we going?
6;1;Solaricks;Rick;To kill your grandpa, little buddy.
6;1;Solaricks;Morty;Wait, what?
6;1;Solaricks;Morty;I don't understand. My original Rick killed your family? And you were just waiting for him to come back?
6;1;Solaricks;Rick;Seems like you understand fine, Morty. That was A+ re-piping.  We're here.
6;1;Solaricks;Rick;This guy, Morty, he hates being found but loves building elaborate shit. Like-like-like playing a ton of Minecraft but all on a private server.
6;1;Solaricks;Morty;Am I in a fucking K-hole right now? What is going on?
6;1;Solaricks;Rick Prime; Whoa-ho-ho, you found me!
6;1;Solaricks;Rick Prime;I shoot the first monitor, too. Listen, I'm not here. Or am I?
6;1;Solaricks;Rick Prime;There's the clone you found! Or maybe it's me, all naked! Just a lil' Keyser Soze. I mean, why would I admit it's not?
6;1;Solaricks;Rick Prime;"Oh-hoho, yeah! Look at him! Look at him go! Look at him dance! O-or me. Again, it might be me, like a Saw"" thing. I'm very sneaky. Here's a bunch of killbots to deal with while ya wrestle with that."""
6;1;Solaricks;Rick Prime;Obviously, I don't know who I'm talking to here.
6;1;Solaricks;Rick Prime;It's all prerecorded.
6;1;Solaricks;Rick Prime;But if you got this far, you probably think you're real special. Tell you what...
6;1;Solaricks;Rick Prime;Oop! There he goes! Maybe that actually was me! If you follow him down there, we can do a big fight. Fifty percent chance I'm not lying.
6;1;Solaricks;Space Beth; We're in trouble, asshole! I shouldn't have to beg.
6;1;Solaricks;Morty;Wait, my moms are in trouble?
6;1;Solaricks;Rick;Those versions of them are.
6;1;Solaricks;Morty;W-we gotta save them! Rick, this is an obvious trap. If you go down there he's just gonna kill you.
6;1;Solaricks;Rick;Good!
6;1;Solaricks;Morty;What? 
6;1;Solaricks;Rick;Now what?
6;1;Solaricks;Morty;If you don't care if you die, why do you care if I die?
6;1;Solaricks;Rick;Knock it off! Get out of here! You did this last season! You're like a suicide bomber!
6;1;Solaricks;Morty;Takes one to know one.
6;1;Solaricks;Rick;Yeah, well, you get it from him, not me.
6;1;Solaricks;Morty;I don't know him. You're my grandpa, Rick. Rick and Morty. A hundred years.
6;1;Solaricks;Rick Prime;This place totally might go up, by the way. Here's a bunch of countdowns. One of them's probably accurate.
6;1;Solaricks;Space Beth;Ah, fucking stupid 5th-dimensional stomach juices.
6;1;Solaricks;Beth;Sorry for the sitcom fight, and maybe getting us digested.
6;1;Solaricks;Space Beth;You've got incredible timing.
6;1;Solaricks;Beth;Oh, don't be a bitch. I'm parenting. Makes sense you don't recognize it. You've been out of practice for a while.
6;1;Solaricks;Space Beth;"Good! I'm glad that they have you! I don't want to be Space Mom."""""
6;1;Solaricks;Beth;You've made that clear. Just don't let Summer mistake your rejection of her for good taste.
6;1;Solaricks;Space Beth;I'm not trying to. It's all her!
6;1;Solaricks;Summer;Jesus! It'd be cool if you were around more. I don't wanna get married. I'm 17. My affection is the wind. Don't try to compete for it.  I could hear every word of that through the helmets. Thank fuck I only had to kill most of them.
6;1;Solaricks;Beth;Jesus, that ship really has sailed.
6;1;Solaricks;Space Beast;And now... we feast!
6;1;Solaricks;Rick;This emergency was oversold to me.
6;1;Solaricks;Summer;Grandpa!
6;1;Solaricks;Beth & Space Beth;Morty!
6;1;Solaricks;Morty;Moms!
6;1;Solaricks;Morty;Wait, i-if they had to wear helmets—
6;1;Solaricks;Rick;I do childproofing stuff while you're asleep.
6;1;Solaricks;Morty;Why don't you childproof Dad?
6;1;Solaricks;Beth;Ah, great reminder.
6;1;Solaricks;Rick;Wait!
6;1;Solaricks;Beth;Time to get Jerry.
6;1;Solaricks;Rick;Ugh.
6;1;Solaricks;Alternate Beth;Maybe I wouldn't be so uptight if I wasn't married to an unemployed receptacle of human fear!
6;1;Solaricks;Alternate Summer;Get a job, Dad, it's been a decade.
6;1;Solaricks;Alternate Rick;Whoof. Pretty brutal, Jer. I-I know a good alligator park if you wanna kill yourself.
6;1;Solaricks;Alternate Morty;I got expelled today.
6;1;Solaricks;Alternate Beth;What the hell, Morty?!
6;1;Solaricks;Alternate Rick;Oh, no, you got expelled. Whoa, what a horrible thing.
6;1;Solaricks;Alternate Beth;You are so fucking dumb!
6;1;Solaricks;Alternate Rick;Too bad, Morty.
6;1;Solaricks;Beth;Hi, hon.
6;1;Solaricks;Rick;Whoof, some real Season 2 vibes in there, you know what I'm sayin'?
6;1;Solaricks;Jerry; You know, never thought I'd say this, but I think I'm glad we spent that time divorced.
6;1;Solaricks;Jerry;Eh, one second.
6;1;Solaricks;Alternate Rick;I'll build a fucking swing set in the backyard!
6;1;Solaricks;Alternate Beth;What the hell Morty?
6;1;Solaricks;Jerry;You know, I may technically be from here. But I'm a goddamn interdimensional traveller now, and all of you——can kiss my sci-fi ass.
6;1;Solaricks;Beth;It gets me every time.
6;1;Solaricks;Morty;Wow, what an amazing joke I just told. A-and also, what an adventure. You know, I guess it doesn't matter where we're from if we're together, huh? Good-good final moral thing.
6;1;Solaricks;Summer;This is everyone's original dimension now.
6;1;Solaricks;Rick;Great wrap-ups, kids.
6;1;Solaricks;Season 2 Jerry;Ugh, you're back.
6;1;Solaricks;Rick;Oh shit, Season 2 Jerry!
6;1;Solaricks;Season 2 Jerry;Look, before you bust my balls, can someone help with the shower? It's colder than Beth on her anniversary. Also...  Look what I found in Rick's room!
6;1;Solaricks;Mr. Frundles;Mmm, I'm Mr. Frundles!
6;1;Solaricks;Season 2 Jerry;I don't care how cute he is, we agreed! No Boogens in the house! 
6;1;Solaricks;Rick;Wait, Season 2 Jerry! Don't!
6;1;Solaricks;Mr. Frundles;Nyaah! 
6;1;Solaricks;Morty;Oh!
6;1;Solaricks;Summer;Mr. Frundles!
6;1;Solaricks;Rick;Everybody in the car.
6;1;Solaricks;Mr. Frundles;Mmm, I'm Mr. Frundles!
6;1;Solaricks;Jerry;Wait, but I thought he was Mr. Frundles. 
6;1;Solaricks;Rick;Everybody in the car! Now!
6;1;Solaricks;Many species of Mr. Frundles; Mmm, I'm Mr. Frundles!
6;1;Solaricks;Beth;What the fuck Dad?! Why would you bring that thing into our house?
6;1;Solaricks;Rick;It was cute! Fuck we gotta find a new timeline now! You know how hard that shit is without portals? We gotta do the thing with the Rift and the beacon again! The whole fucking episode all over again! Car, fabricate some vomit bags.
6;1;Solaricks;Space Beth;Can't we just go back and fix it?
6;1;Solaricks;Mr. Frundles;Mmm, I'm Mr. Frundles!
6;1;Solaricks;Summer;I can't believe portal travel's broken.
6;1;Solaricks;Rick;I'll get to it when I get to it.
6;1;Solaricks;Morty;Lift with your knees, Mom.
6;1;Solaricks;Beth;How many times have you done this?
6;1;Solaricks;Jerry; Oh, God.
6;1;Solaricks;Beth;And you swear they die of natural causes?
6;1;Solaricks;Rick;Mm-hmm, yep.
6;1;Solaricks;Space Beth;The exact same as our old timeline? Even my stuff?
6;1;Solaricks;Rick;"Bit of a rush job, actually, so they do say parmesan"" weird."""
6;1;Solaricks;Morty;How do they say—
6;1;Solaricks;Rick;Par-mees-ian.
6;1;Solaricks;Summer;Boo.
6;1;Solaricks;Jerry;Jesus Christ.
6;1;Solaricks;Rick;I could've left you guys! You think the concept of family matters to me? I'm not even your Rick!
6;1;Solaricks;Summer;Uh-huh.
6;1;Solaricks;Jerry;"I'm Denial Rick!"""""
6;1;Solaricks;Beth;See you inside, Dad.
6;1;Solaricks;Beth;Sorry I was such a Dance Mom about Summer. She's your daughter too.
6;1;Solaricks;Space Beth;No, boundaries are good. But, uh, speaking of, maybe I've put up too many. Is it okay if I come around sometimes?
6;1;Solaricks;Beth;That could be nice.
6;1;Solaricks;Space Beth;That's a cute outfit.
6;1;Solaricks;Beth;The one we always wear?
6;1;Solaricks;Rick; Yes, Morty?
6;1;Solaricks;Morty;You promise I'm not, you know, bait? T-to make that Rick come back?
6;1;Solaricks;Rick;What? M-Morty, for you to be bait, the guy'd have to value something. He truly does not give a shit.  He's the real deal.
6;1;Solaricks;Morty;Parmeee...san...
6;1;Solaricks;Rick;Par-meee-sian. Par-meee-sian.
6;1;Solaricks;Morty;Par...par-meee-sian.
6;1;Solaricks;Rick;Par-me-sian.
6;1;Solaricks;Morty;Gross.
6;1;Solaricks;Rick;Yeah.
6;1;Solaricks;Morty;I hate it.
6;1;Solaricks;Original Jerry;Hello? Morty? That one big Rat?
6;1;Solaricks;Rick Prime;Whoa, this is a development.
6;1;Solaricks;Original Jerry;Gah!
6;1;Solaricks;Rick Prime;Shh. Whoa, whoa, whoa, whoa, lil guy. Easy. You're a Jerry, right? Never got too close to the concept. Boy, you have really arc'd out.
6;1;Solaricks;Original Jerry;Were you putting on pants?
6;1;Solaricks;Rick Prime;What? Oh, yeah, no, I was naked to fuck with a guy. Speaking of, did you talk to me, or a little kid around here?
6;1;Solaricks;Original Jerry;Maybe. Why? Because if you hate them, too... I could be down for a little team up.
6;1;Solaricks;Rick Prime;"Eh, I really don't team up"" anymore. Managing people, such a headache. Aah!"""
6;1;Solaricks;Original Jerry;Fatality. Jerry wins!
6;1;Solaricks;Rick Prime;Oh goddamn dude! Badass!
6;1;Solaricks;Original Jerry;Why are you here?
6;1;Solaricks;Rick Prime;Buddy, I have been asking myself that exact same question.
6;2;Rick: A Mort Well Lived;NPC Store Owner;Hey, you kids! Don't be bad outside my store! I keep a nice store!
